id,language,sentence,tokenized_sentence,expression,category,indices
synth_idiomatic_içi erimek_1,tr,Onlar hep içi erimek gibi davranıyor.,"['Onlar', 'hep', 'içi', 'erimek', 'gibi', 'davranıyor.']",içi erimek,idiomatic,"[2, 3]"
synth_literal_içi erimek_0,tr,içi erimek kelimesini sözlükte aradı.,"['içi', 'erimek', 'kelimesini', 'sözlükte', 'aradı.']",içi erimek,literal,"[0, 1]"
synth_literal_içi erimek_1,tr,Cümlede geçen içi erimek kısmını vurguladı.,"['Cümlede', 'geçen', 'içi', 'erimek', 'kısmını', 'vurguladı.']",içi erimek,literal,"[2, 3]"
synth_idiomatic_sayıp dökmek_0,tr,Onlar hep sayıp dökmek gibi davranıyor.,"['Onlar', 'hep', 'sayıp', 'dökmek', 'gibi', 'davranıyor.']",sayıp dökmek,idiomatic,"[2, 3]"
synth_idiomatic_sayıp dökmek_1,tr,O da sonunda sayıp dökmek zorunda kaldı.,"['O', 'da', 'sonunda', 'sayıp', 'dökmek', 'zorunda', 'kaldı.']",sayıp dökmek,idiomatic,"[3, 4]"
synth_literal_sayıp dökmek_0,tr,Öğretmen sayıp dökmek örneğini tahtaya yazdı.,"['Öğretmen', 'sayıp', 'dökmek', 'örneğini', 'tahtaya', 'yazdı.']",sayıp dökmek,literal,"[1, 2]"
synth_literal_sayıp dökmek_1,tr,Sınavda sayıp dökmek deyimini açıklaması istendi.,"['Sınavda', 'sayıp', 'dökmek', 'deyimini', 'açıklaması', 'istendi.']",sayıp dökmek,literal,"[1, 2]"
synth_idiomatic_ele almak_0,tr,ele almak yüzünden tartışma çıktı.,"['ele', 'almak', 'yüzünden', 'tartışma', 'çıktı.']",ele almak,idiomatic,"[0, 1]"
synth_idiomatic_ele almak_1,tr,Bazıları ele almak gerektiğini düşünüyor.,"['Bazıları', 'ele', 'almak', 'gerektiğini', 'düşünüyor.']",ele almak,idiomatic,"[1, 2]"
synth_literal_ele almak_0,tr,Cümlede geçen ele almak kısmını vurguladı.,"['Cümlede', 'geçen', 'ele', 'almak', 'kısmını', 'vurguladı.']",ele almak,literal,"[2, 3]"
synth_literal_ele almak_1,tr,ele almak kelimesini sözlükte aradı.,"['ele', 'almak', 'kelimesini', 'sözlükte', 'aradı.']",ele almak,literal,"[0, 1]"
synth_idiomatic_üste çıkmak_0,tr,O da sonunda üste çıkmak zorunda kaldı.,"['O', 'da', 'sonunda', 'üste', 'çıkmak', 'zorunda', 'kaldı.']",üste çıkmak,idiomatic,"[3, 4]"
synth_idiomatic_üste çıkmak_1,tr,Bazıları üste çıkmak gerektiğini düşünüyor.,"['Bazıları', 'üste', 'çıkmak', 'gerektiğini', 'düşünüyor.']",üste çıkmak,idiomatic,"[1, 2]"
synth_literal_üste çıkmak_0,tr,Cümlede geçen üste çıkmak kısmını vurguladı.,"['Cümlede', 'geçen', 'üste', 'çıkmak', 'kısmını', 'vurguladı.']",üste çıkmak,literal,"[2, 3]"
synth_literal_üste çıkmak_1,tr,üste çıkmak kelimesini sözlükte aradı.,"['üste', 'çıkmak', 'kelimesini', 'sözlükte', 'aradı.']",üste çıkmak,literal,"[0, 1]"
synth_idiomatic_kolları sıvamak_0,tr,Bazıları kolları sıvamak gerektiğini düşünüyor.,"['Bazıları', 'kolları', 'sıvamak', 'gerektiğini', 'düşünüyor.']",kolları sıvamak,idiomatic,"[1, 2]"
synth_idiomatic_kolları sıvamak_1,tr,kolları sıvamak yüzünden tartışma çıktı.,"['kolları', 'sıvamak', 'yüzünden', 'tartışma', 'çıktı.']",kolları sıvamak,idiomatic,"[0, 1]"
synth_literal_kolları sıvamak_0,tr,Öğretmen kolları sıvamak örneğini tahtaya yazdı.,"['Öğretmen', 'kolları', 'sıvamak', 'örneğini', 'tahtaya', 'yazdı.']",kolları sıvamak,literal,"[1, 2]"
synth_literal_kolları sıvamak_1,tr,Cümlede geçen kolları sıvamak kısmını vurguladı.,"['Cümlede', 'geçen', 'kolları', 'sıvamak', 'kısmını', 'vurguladı.']",kolları sıvamak,literal,"[2, 3]"
synth_idiomatic_yer vermek_0,tr,Onlar hep yer vermek gibi davranıyor.,"['Onlar', 'hep', 'yer', 'vermek', 'gibi', 'davranıyor.']",yer vermek,idiomatic,"[2, 3]"
synth_idiomatic_yer vermek_1,tr,Bazıları yer vermek gerektiğini düşünüyor.,"['Bazıları', 'yer', 'vermek', 'gerektiğini', 'düşünüyor.']",yer vermek,idiomatic,"[1, 2]"
synth_literal_yer vermek_0,tr,Sınavda yer vermek deyimini açıklaması istendi.,"['Sınavda', 'yer', 'vermek', 'deyimini', 'açıklaması', 'istendi.']",yer vermek,literal,"[1, 2]"
synth_literal_yer vermek_1,tr,Cümlede geçen yer vermek kısmını vurguladı.,"['Cümlede', 'geçen', 'yer', 'vermek', 'kısmını', 'vurguladı.']",yer vermek,literal,"[2, 3]"
synth_idiomatic_zaman kazanmak_0,tr,O da sonunda zaman kazanmak zorunda kaldı.,"['O', 'da', 'sonunda', 'zaman', 'kazanmak', 'zorunda', 'kaldı.']",zaman kazanmak,idiomatic,"[3, 4]"
synth_idiomatic_zaman kazanmak_1,tr,Onlar hep zaman kazanmak gibi davranıyor.,"['Onlar', 'hep', 'zaman', 'kazanmak', 'gibi', 'davranıyor.']",zaman kazanmak,idiomatic,"[2, 3]"
synth_literal_zaman kazanmak_0,tr,Cümlede geçen zaman kazanmak kısmını vurguladı.,"['Cümlede', 'geçen', 'zaman', 'kazanmak', 'kısmını', 'vurguladı.']",zaman kazanmak,literal,"[2, 3]"
synth_literal_zaman kazanmak_1,tr,Öğretmen zaman kazanmak örneğini tahtaya yazdı.,"['Öğretmen', 'zaman', 'kazanmak', 'örneğini', 'tahtaya', 'yazdı.']",zaman kazanmak,literal,"[1, 2]"
synth_idiomatic_sıkı durmak_0,tr,Onlar hep sıkı durmak gibi davranıyor.,"['Onlar', 'hep', 'sıkı', 'durmak', 'gibi', 'davranıyor.']",sıkı durmak,idiomatic,"[2, 3]"
synth_idiomatic_sıkı durmak_1,tr,sıkı durmak yüzünden tartışma çıktı.,"['sıkı', 'durmak', 'yüzünden', 'tartışma', 'çıktı.']",sıkı durmak,idiomatic,"[0, 1]"
synth_literal_sıkı durmak_0,tr,Öğretmen sıkı durmak örneğini tahtaya yazdı.,"['Öğretmen', 'sıkı', 'durmak', 'örneğini', 'tahtaya', 'yazdı.']",sıkı durmak,literal,"[1, 2]"
synth_literal_sıkı durmak_1,tr,Sınavda sıkı durmak deyimini açıklaması istendi.,"['Sınavda', 'sıkı', 'durmak', 'deyimini', 'açıklaması', 'istendi.']",sıkı durmak,literal,"[1, 2]"
synth_idiomatic_el koymak_0,tr,Bazıları el koymak gerektiğini düşünüyor.,"['Bazıları', 'el', 'koymak', 'gerektiğini', 'düşünüyor.']",el koymak,idiomatic,"[1, 2]"
synth_idiomatic_el koymak_1,tr,O da sonunda el koymak zorunda kaldı.,"['O', 'da', 'sonunda', 'el', 'koymak', 'zorunda', 'kaldı.']",el koymak,idiomatic,"[3, 4]"
synth_literal_el koymak_0,tr,Sınavda el koymak deyimini açıklaması istendi.,"['Sınavda', 'el', 'koymak', 'deyimini', 'açıklaması', 'istendi.']",el koymak,literal,"[1, 2]"
synth_literal_el koymak_1,tr,el koymak kelimesini sözlükte aradı.,"['el', 'koymak', 'kelimesini', 'sözlükte', 'aradı.']",el koymak,literal,"[0, 1]"
synth_idiomatic_meydana gelmek_0,tr,meydana gelmek yüzünden tartışma çıktı.,"['meydana', 'gelmek', 'yüzünden', 'tartışma', 'çıktı.']",meydana gelmek,idiomatic,"[0, 1]"
synth_idiomatic_meydana gelmek_1,tr,Onlar hep meydana gelmek gibi davranıyor.,"['Onlar', 'hep', 'meydana', 'gelmek', 'gibi', 'davranıyor.']",meydana gelmek,idiomatic,"[2, 3]"
synth_literal_meydana gelmek_0,tr,Cümlede geçen meydana gelmek kısmını vurguladı.,"['Cümlede', 'geçen', 'meydana', 'gelmek', 'kısmını', 'vurguladı.']",meydana gelmek,literal,"[2, 3]"
synth_literal_meydana gelmek_1,tr,Sınavda meydana gelmek deyimini açıklaması istendi.,"['Sınavda', 'meydana', 'gelmek', 'deyimini', 'açıklaması', 'istendi.']",meydana gelmek,literal,"[1, 2]"
synth_idiomatic_yer almak_0,tr,Onlar hep yer almak gibi davranıyor.,"['Onlar', 'hep', 'yer', 'almak', 'gibi', 'davranıyor.']",yer almak,idiomatic,"[2, 3]"
synth_idiomatic_yer almak_1,tr,Bazıları yer almak gerektiğini düşünüyor.,"['Bazıları', 'yer', 'almak', 'gerektiğini', 'düşünüyor.']",yer almak,idiomatic,"[1, 2]"
synth_literal_yer almak_0,tr,yer almak kelimesini sözlükte aradı.,"['yer', 'almak', 'kelimesini', 'sözlükte', 'aradı.']",yer almak,literal,"[0, 1]"
synth_literal_yer almak_1,tr,Öğretmen yer almak örneğini tahtaya yazdı.,"['Öğretmen', 'yer', 'almak', 'örneğini', 'tahtaya', 'yazdı.']",yer almak,literal,"[1, 2]"
synth_idiomatic_ileri sürmek_0,tr,ileri sürmek yüzünden tartışma çıktı.,"['ileri', 'sürmek', 'yüzünden', 'tartışma', 'çıktı.']",ileri sürmek,idiomatic,"[0, 1]"
synth_idiomatic_ileri sürmek_1,tr,O da sonunda ileri sürmek zorunda kaldı.,"['O', 'da', 'sonunda', 'ileri', 'sürmek', 'zorunda', 'kaldı.']",ileri sürmek,idiomatic,"[3, 4]"
synth_literal_ileri sürmek_0,tr,Sınavda ileri sürmek deyimini açıklaması istendi.,"['Sınavda', 'ileri', 'sürmek', 'deyimini', 'açıklaması', 'istendi.']",ileri sürmek,literal,"[1, 2]"
synth_literal_ileri sürmek_1,tr,ileri sürmek kelimesini sözlükte aradı.,"['ileri', 'sürmek', 'kelimesini', 'sözlükte', 'aradı.']",ileri sürmek,literal,"[0, 1]"
synth_idiomatic_göz yummak_0,tr,O da sonunda göz yummak zorunda kaldı.,"['O', 'da', 'sonunda', 'göz', 'yummak', 'zorunda', 'kaldı.']",göz yummak,idiomatic,"[3, 4]"
synth_idiomatic_göz yummak_1,tr,göz yummak yüzünden tartışma çıktı.,"['göz', 'yummak', 'yüzünden', 'tartışma', 'çıktı.']",göz yummak,idiomatic,"[0, 1]"
synth_literal_göz yummak_0,tr,Öğretmen göz yummak örneğini tahtaya yazdı.,"['Öğretmen', 'göz', 'yummak', 'örneğini', 'tahtaya', 'yazdı.']",göz yummak,literal,"[1, 2]"
synth_literal_göz yummak_1,tr,Sınavda göz yummak deyimini açıklaması istendi.,"['Sınavda', 'göz', 'yummak', 'deyimini', 'açıklaması', 'istendi.']",göz yummak,literal,"[1, 2]"
synth_idiomatic_yol açmak_0,tr,Onlar hep yol açmak gibi davranıyor.,"['Onlar', 'hep', 'yol', 'açmak', 'gibi', 'davranıyor.']",yol açmak,idiomatic,"[2, 3]"
synth_idiomatic_yol açmak_1,tr,yol açmak yüzünden tartışma çıktı.,"['yol', 'açmak', 'yüzünden', 'tartışma', 'çıktı.']",yol açmak,idiomatic,"[0, 1]"
synth_literal_yol açmak_0,tr,Öğretmen yol açmak örneğini tahtaya yazdı.,"['Öğretmen', 'yol', 'açmak', 'örneğini', 'tahtaya', 'yazdı.']",yol açmak,literal,"[1, 2]"
synth_literal_yol açmak_1,tr,Sınavda yol açmak deyimini açıklaması istendi.,"['Sınavda', 'yol', 'açmak', 'deyimini', 'açıklaması', 'istendi.']",yol açmak,literal,"[1, 2]"
synth_idiomatic_üzerinde durmak_0,tr,üzerinde durmak yüzünden tartışma çıktı.,"['üzerinde', 'durmak', 'yüzünden', 'tartışma', 'çıktı.']",üzerinde durmak,idiomatic,"[0, 1]"
synth_idiomatic_üzerinde durmak_1,tr,Onlar hep üzerinde durmak gibi davranıyor.,"['Onlar', 'hep', 'üzerinde', 'durmak', 'gibi', 'davranıyor.']",üzerinde durmak,idiomatic,"[2, 3]"
synth_literal_üzerinde durmak_0,tr,üzerinde durmak kelimesini sözlükte aradı.,"['üzerinde', 'durmak', 'kelimesini', 'sözlükte', 'aradı.']",üzerinde durmak,literal,"[0, 1]"
synth_literal_üzerinde durmak_1,tr,Cümlede geçen üzerinde durmak kısmını vurguladı.,"['Cümlede', 'geçen', 'üzerinde', 'durmak', 'kısmını', 'vurguladı.']",üzerinde durmak,literal,"[2, 3]"
synth_idiomatic_ortaya çıkmak_0,tr,ortaya çıkmak yüzünden tartışma çıktı.,"['ortaya', 'çıkmak', 'yüzünden', 'tartışma', 'çıktı.']",ortaya çıkmak,idiomatic,"[0, 1]"
synth_idiomatic_ortaya çıkmak_1,tr,Onlar hep ortaya çıkmak gibi davranıyor.,"['Onlar', 'hep', 'ortaya', 'çıkmak', 'gibi', 'davranıyor.']",ortaya çıkmak,idiomatic,"[2, 3]"
synth_literal_ortaya çıkmak_0,tr,ortaya çıkmak kelimesini sözlükte aradı.,"['ortaya', 'çıkmak', 'kelimesini', 'sözlükte', 'aradı.']",ortaya çıkmak,literal,"[0, 1]"
synth_literal_ortaya çıkmak_1,tr,Cümlede geçen ortaya çıkmak kısmını vurguladı.,"['Cümlede', 'geçen', 'ortaya', 'çıkmak', 'kısmını', 'vurguladı.']",ortaya çıkmak,literal,"[2, 3]"
synth_idiomatic_nabzını tutmak_0,tr,O da sonunda nabzını tutmak zorunda kaldı.,"['O', 'da', 'sonunda', 'nabzını', 'tutmak', 'zorunda', 'kaldı.']",nabzını tutmak,idiomatic,"[3, 4]"
synth_idiomatic_nabzını tutmak_1,tr,nabzını tutmak yüzünden tartışma çıktı.,"['nabzını', 'tutmak', 'yüzünden', 'tartışma', 'çıktı.']",nabzını tutmak,idiomatic,"[0, 1]"
synth_literal_nabzını tutmak_0,tr,Sınavda nabzını tutmak deyimini açıklaması istendi.,"['Sınavda', 'nabzını', 'tutmak', 'deyimini', 'açıklaması', 'istendi.']",nabzını tutmak,literal,"[1, 2]"
synth_literal_nabzını tutmak_1,tr,nabzını tutmak kelimesini sözlükte aradı.,"['nabzını', 'tutmak', 'kelimesini', 'sözlükte', 'aradı.']",nabzını tutmak,literal,"[0, 1]"
synth_idiomatic_altını çizmek_0,tr,Bazıları altını çizmek gerektiğini düşünüyor.,"['Bazıları', 'altını', 'çizmek', 'gerektiğini', 'düşünüyor.']",altını çizmek,idiomatic,"[1, 2]"
synth_idiomatic_altını çizmek_1,tr,altını çizmek yüzünden tartışma çıktı.,"['altını', 'çizmek', 'yüzünden', 'tartışma', 'çıktı.']",altını çizmek,idiomatic,"[0, 1]"
synth_literal_altını çizmek_0,tr,Sınavda altını çizmek deyimini açıklaması istendi.,"['Sınavda', 'altını', 'çizmek', 'deyimini', 'açıklaması', 'istendi.']",altını çizmek,literal,"[1, 2]"
synth_literal_altını çizmek_1,tr,Cümlede geçen altını çizmek kısmını vurguladı.,"['Cümlede', 'geçen', 'altını', 'çizmek', 'kısmını', 'vurguladı.']",altını çizmek,literal,"[2, 3]"
synth_idiomatic_ağırlık vermek_0,tr,Bazıları ağırlık vermek gerektiğini düşünüyor.,"['Bazıları', 'ağırlık', 'vermek', 'gerektiğini', 'düşünüyor.']",ağırlık vermek,idiomatic,"[1, 2]"
synth_idiomatic_ağırlık vermek_1,tr,Onlar hep ağırlık vermek gibi davranıyor.,"['Onlar', 'hep', 'ağırlık', 'vermek', 'gibi', 'davranıyor.']",ağırlık vermek,idiomatic,"[2, 3]"
synth_literal_ağırlık vermek_0,tr,Sınavda ağırlık vermek deyimini açıklaması istendi.,"['Sınavda', 'ağırlık', 'vermek', 'deyimini', 'açıklaması', 'istendi.']",ağırlık vermek,literal,"[1, 2]"
synth_literal_ağırlık vermek_1,tr,Cümlede geçen ağırlık vermek kısmını vurguladı.,"['Cümlede', 'geçen', 'ağırlık', 'vermek', 'kısmını', 'vurguladı.']",ağırlık vermek,literal,"[2, 3]"
synth_idiomatic_üstüne almak_0,tr,Onlar hep üstüne almak gibi davranıyor.,"['Onlar', 'hep', 'üstüne', 'almak', 'gibi', 'davranıyor.']",üstüne almak,idiomatic,"[2, 3]"
synth_idiomatic_üstüne almak_1,tr,Bazıları üstüne almak gerektiğini düşünüyor.,"['Bazıları', 'üstüne', 'almak', 'gerektiğini', 'düşünüyor.']",üstüne almak,idiomatic,"[1, 2]"
synth_literal_üstüne almak_0,tr,Öğretmen üstüne almak örneğini tahtaya yazdı.,"['Öğretmen', 'üstüne', 'almak', 'örneğini', 'tahtaya', 'yazdı.']",üstüne almak,literal,"[1, 2]"
synth_literal_üstüne almak_1,tr,Sınavda üstüne almak deyimini açıklaması istendi.,"['Sınavda', 'üstüne', 'almak', 'deyimini', 'açıklaması', 'istendi.']",üstüne almak,literal,"[1, 2]"
synth_idiomatic_ortaya atmak_0,tr,O da sonunda ortaya atmak zorunda kaldı.,"['O', 'da', 'sonunda', 'ortaya', 'atmak', 'zorunda', 'kaldı.']",ortaya atmak,idiomatic,"[3, 4]"
synth_idiomatic_ortaya atmak_1,tr,Onlar hep ortaya atmak gibi davranıyor.,"['Onlar', 'hep', 'ortaya', 'atmak', 'gibi', 'davranıyor.']",ortaya atmak,idiomatic,"[2, 3]"
synth_literal_ortaya atmak_0,tr,Cümlede geçen ortaya atmak kısmını vurguladı.,"['Cümlede', 'geçen', 'ortaya', 'atmak', 'kısmını', 'vurguladı.']",ortaya atmak,literal,"[2, 3]"
